label,x,y,z,buried
1 1,-14.0625,5.5,-25,1
1 2,-14.0625,5.5,-24,1
1 3,-14.0625,5.5,-23,1
1 4,-14.0625,5.5,-22,1
1 5,-14.0625,5.5,-21,1
1 6,-14.0625,5.5,-20,1
1 7,-14.0625,5.5,-19,1
1 8,-14.0625,5.5,-18,1
1 9,-14.0625,5.5,-17,1
1 10,-14.0625,5.5,-16,1
1 11,-14.0625,5.5,-15,1
1 12,-14.0625,5.5,-14,1
1 13,-14.0625,5.5,-13,1
1 14,-14.0625,5.5,-12,1
1 15,-14.0625,5.5,-11,1
1 16,-14.0625,5.5,-10,1
1 17,-14.0625,5.5,-9,1
1 18,-14.0625,5.5,-8,1
1 19,-14.0625,5.5,-7,1
1 20,-14.0625,5.5,-6,1
1 21,-14.0625,5.5,-5,1
1 22,-14.0625,5.5,-4,1
1 23,-14.0625,5.5,-3,1
1 24,-14.0625,5.5,-2,0
1 25,5.125,11,-2,0
1 26,5.125,11,-3,1
1 27,5.125,11,-4,1
1 28,5.125,11,-5,1
1 29,5.125,11,-6,1
1 30,5.125,11,-7,1
1 31,5.125,11,-8,1
1 32,5.125,11,-9,1
1 33,5.125,11,-10,1
1 34,5.125,11,-11,1
1 35,5.125,11,-12,1
1 36,5.125,11,-13,1
1 37,5.125,11,-14,1
1 38,5.125,11,-15,1
1 39,5.125,11,-16,1
1 40,5.125,11,-17,1
1 41,5.125,11,-18,1
1 42,5.125,11,-19,1
1 43,5.125,11,-20,1
1 44,5.125,11,-21,1
1 45,5.125,11,-22,1
1 46,5.125,11,-23,1
1 47,5.125,11,-24,1
1 48,5.125,11,-25,1
1 49,0,0,-2,0
1 50,0,0,-3,1
1 51,0,0,-4,1
1 52,0,0,-5,1
1 53,0,0,-6,1
1 54,0,0,-7,1
1 55,0,0,-8,1
1 56,0,0,-9,1
1 57,0,0,-10,1
1 58,0,0,-11,1
1 59,0,0,-12,1
1 60,0,0,-13,1
1 61,0,0,-14,1
1 62,0,0,-15,1
1 63,0,0,-16,1
1 64,0,0,-17,1
1 65,0,0,-18,1
1 66,0,0,-19,1
1 67,0,0,-20,1
1 68,0,0,-21,1
1 69,0,0,-22,1
1 70,0,0,-23,1
1 71,0,0,-24,1
1 72,0,0,-25,1
1 73,13.5,-5,-2,0
1 74,13.5,-5,-3,1
1 75,13.5,-5,-4,1
1 76,13.5,-5,-5,1
1 77,13.5,-5,-6,1
1 78,13.5,-5,-7,1
1 79,13.5,-5,-8,1
1 80,13.5,-5,-9,1
1 81,13.5,-5,-10,1
1 82,13.5,-5,-11,1
1 83,13.5,-5,-12,1
1 84,13.5,-5,-13,1
1 85,13.5,-5,-14,1
1 86,13.5,-5,-15,1
1 87,13.5,-5,-16,1
1 88,13.5,-5,-17,1
1 89,13.5,-5,-18,1
1 90,13.5,-5,-19,1
1 91,13.5,-5,-20,1
1 92,13.5,-5,-21,1
1 93,13.5,-5,-22,1
1 94,13.5,-5,-23,1
1 95,13.5,-5,-24,1
1 96,13.5,-5,-25,1
1 97,-4.0625,-13.5,-2,0
1 98,-4.0625,-13.5,-3,1
1 99,-4.0625,-13.5,-4,1
1 100,-4.0625,-13.5,-5,1
1 101,-4.0625,-13.5,-6,1
1 102,-4.0625,-13.5,-7,1
1 103,-4.0625,-13.5,-8,1
1 104,-4.0625,-13.5,-9,1
1 105,-4.0625,-13.5,-10,1
1 106,-4.0625,-13.5,-11,1
1 107,-4.0625,-13.5,-12,1
1 108,-4.0625,-13.5,-13,1
1 109,-4.0625,-13.5,-14,1
1 110,-4.0625,-13.5,-15,1
1 111,-4.0625,-13.5,-16,1
1 112,-4.0625,-13.5,-17,1
1 113,-4.0625,-13.5,-18,1
1 114,-4.0625,-13.5,-19,1
1 115,-4.0625,-13.5,-20,1
1 116,-4.0625,-13.5,-21,1
1 117,-4.0625,-13.5,-22,1
1 118,-4.0625,-13.5,-23,1
1 119,-4.0625,-13.5,-24,1
1 120,-4.0625,-13.5,-25,1
